Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540848836854,1072408673,call,NA,NA, ,javachat.JavaChat.<clinit>,0,0,NA,NA
1540848836854,1531448569,call,NA,NA, ,javachat.JavaChat.instance,1,1,null,
1540848836854,1531448569,return,NA,0,NA,NA,NA,NA,NA,NA
1540848836854,1072408673,return,NA,0,NA,NA,NA,NA,NA,NA
1540848836854,1867083167,call,NA,NA,void,javachat.JavaChat.main,0,1,[Ljava.lang.String;,[Ljava.lang.String;@b4c966a
1540848836856,793589513,call,NA,NA,class [Ljavax.swing.UIManager$LookAndFeelInfo;,javax.swing.UIManager.getInstalledLookAndFeels,1,0,NA,NA
1540848836859,793589513,return,[Ljavax.swing.UIManager$LookAndFeelInfo;@23ab930d,0,NA,NA,NA,NA,NA,NA
1540848837002,1161082381,call,javax.swing.UIManager$LookAndFeelInfo[Metal javax.swing.plaf.metal.MetalLookAndFeel],1637506559,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getName,1,0,NA,NA
1540848837002,1161082381,return,Metal,1637506559,NA,NA,NA,NA,NA,NA
1540848837002,517380410,call,Nimbus,2117255219,boolean,java.lang.String.equals,1,1,java.lang.String,Metal
1540848837003,517380410,return,false,2117255219,NA,NA,NA,NA,NA,NA
1540848837004,1673605040,call,javax.swing.UIManager$LookAndFeelInfo[Nimbus javax.swing.plaf.nimbus.NimbusLookAndFeel],186276003,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getName,1,0,NA,NA
1540848837004,1673605040,return,Nimbus,186276003,NA,NA,NA,NA,NA,NA
1540848837004,1681433494,call,Nimbus,2117255219,boolean,java.lang.String.equals,1,1,java.lang.String,Nimbus
1540848837004,1681433494,return,true,2117255219,NA,NA,NA,NA,NA,NA
1540848837004,237061348,call,javax.swing.UIManager$LookAndFeelInfo[Nimbus javax.swing.plaf.nimbus.NimbusLookAndFeel],186276003,class java.lang.String,javax.swing.UIManager$LookAndFeelInfo.getClassName,1,0,NA,NA
1540848837004,237061348,return,javax.swing.plaf.nimbus.NimbusLookAndFeel,186276003,NA,NA,NA,NA,NA,NA
